Timestamp,PM_1.0,PM_2.5,PM_10,CO2,TVOC,CH2O
2026-03-15 14:03:37,0,0,0,500,2,29184
2026-03-15 14:03:40,1,2,2,500,2,29184
2026-03-15 14:03:42,8,11,12,500,2,29184
2026-03-15 14:03:45,14,19,21,500,2,29184
2026-03-15 14:03:47,20,25,28,500,2,29184
2026-03-15 14:03:50,25,31,35,500,2,28928
2026-03-15 14:03:52,30,38,43,500,2,28928
2026-03-15 14:03:55,35,43,49,500,2,28928
2026-03-15 14:03:57,41,50,57,500,2,28928
2026-03-15 14:04:00,45,55,62,500,2,28928
2026-03-15 14:04:02,48,58,66,500,2,28928
2026-03-15 14:04:05,49,61,69,500,2,28928
2026-03-15 14:04:07,51,63,71,500,2,29184
2026-03-15 14:04:10,52,64,73,500,2,28928
2026-03-15 14:04:12,53,66,74,500,2,29184
2026-03-15 14:04:15,55,68,76,500,2,29184
2026-03-15 14:04:17,56,69,78,500,2,29184
2026-03-15 14:04:20,55,68,78,500,2,29184
2026-03-15 14:04:22,54,67,76,500,2,29184
2026-03-15 14:04:25,53,65,74,500,2,29184
2026-03-15 14:04:27,51,63,71,500,2,29184
2026-03-15 14:04:30,50,62,70,500,2,29184
